ROI,Subject,Session/Partition,LocalizerSize
1,543_FED_20170206_3T2_PL2017,1,37
1,544_FED_20170210_3T2_PL2017,1,37
1,545_FED_20170217c_3T2_PL2017,1,37
1,546_FED_20170223_3T2_PL2017,1,37
1,547_FED_20170222_3T2_PL2017,1,37
1,548_FED_20170227_3T2_PL2017,1,37
1,549_FED_20170228a_3T2_PL2017,1,37
1,550_FED_20170228c_3T2_PL2017,1,37
1,551_FED_20170302b_3T2_PL2017,1,37
1,551_FED_20170328a_3T2_PL2017,1,37
1,551_FED_20170412a_3T2_PL2017,1,37
1,552_FED_20170307a_3T2_PL2017,1,37
1,553_FED_20170313d_3T2_PL2017,1,37
1,554_FED_20170315a_3T2_PL2017,1,37
1,555_FED_20170426c_3T2_PL2017,1,37
1,555_FED_20170315b_3T2_PL2017,1,37
1,556_FED_20170316b_3T2_PL2017,1,37
1,557_FED_20170317a_3T2_PL2017,1,37
1,558_FED_20170320a_3T2_PL2017,1,37
1,559_FED_20170320c_3T2_PL2017,1,37
1,561_FED_20170327_3T2_PL2017,1,37
1,562_FED_20170327b_3T2_PL2017,1,37
1,563_FED_20170327c_3T2_PL2017,1,37
1,564_FED_20170406_3T2_PL2017,1,37
1,565_FED_20170406_3T2_PL2017,1,37
1,566_FED_20170407a_3T2_PL2017,1,37
1,567_FED_20170407b_3T2_PL2017,1,37
1,568_FED_20170407c_3T2_PL2017,1,37
1,569_FED_20170410b_3T2_PL2017,1,37
1,570_FED_20170410_3T2_PL2017,1,37
1,571_FED_20170412c_3T2_PL2017,1,37
1,572_FED_20170413a_3T2_PL2017,1,37
1,573_FED_20170413b_3T2_PL2017,1,37
1,574_FED_20170425a_3T2_PL2017,1,37
1,574_FED_20170413c_3T2_PL2017,1,37
1,574_FED_20170430a_3T2_PL2017,1,37
1,575_FED_20170414a_3T2_PL2017,1,37
1,576_FED_20171006a_3T2_PL2017,1,37
1,576_FED_20170414b_3T2_PL2017,1,37
1,577_FED_20170414c_3T2_PL2017,1,37
1,578_FED_20170414d_3T2_PL2017,1,37
1,578_FED_20170831c_3T2_PL2017,1,37
1,579_FED_20170418_3T2_PL2017,1,37
1,580_FED_20170418_3T2_PL2017,1,37
1,581_FED_20170418_3T2_PL2017,1,37
1,582_FED_20190726b_3T2_PL2017,1,37
1,582_FED_20170420a_3T2_PL2017,1,37
1,583_FED_20170720d_3T2_PL2017,1,37
1,583_FED_20170420c_3T2_PL2017,1,37
1,584_FED_20170421a_3T2_PL2017,1,37
1,585_FED_20170329a_3T2_PL2017,1,37
1,586_FED_20170331b_3T2_PL2017,1,37
1,587_FED_20170423a_3T2_PL2017,1,37
1,588_FED_20170422c_3T2_PL2017,1,37
1,589_FED_20170422a_3T2_PL2017,1,37
1,590_FED_20170422b_3T2_PL2017,1,37
1,591_FED_20170422d_3T2_PL2017,1,37
1,592_FED_20170423b_3T2_PL2017,1,37
1,593_FED_20170423c_3T2_PL2017,1,37
1,594_FED_20170423d_3T2_PL2017,1,37
1,595_FED_20170425b_3T2_PL2017,1,37
1,596_FED_20170426b_3T2_PL2017,1,37
1,597_FED_20170427a_3T2_PL2017,1,37
1,598_FED_20170428a_3T2_PL2017,1,37
1,599_FED_20170427c_3T2_PL2017,1,37
1,600_FED_20170428b_3T2_PL2017,1,37
1,601_FED_20170501a_3T2_PL2017,1,37
1,602_FED_20170526b_3T2_PL2017,1,37
1,603_FED_20170502a_3T2_PL2017,1,37
1,607_FED_20170517a_3T2_PL2017,1,37
1,608_FED_20170518a_3T2_PL2017,1,37
1,609_FED_20170523c_3T2_PL2017,1,37
1,610_FED_20170523a_3T2_PL2017,1,37
1,611_FED_20170524_3T2_PL2017,1,37
1,613_FED_20170526a_3T2_PL2017,1,37
1,614_FED_20170525a_3T2_PL2017,1,37
1,617_FED_20170605_3T2_PL2017,1,37
1,618_FED_20170612_3T2_PL2017,1,37
1,619_FED_20170613_3T2_PL2017,1,37
1,620_FED_20170613_3T2_PL2017,1,37
1,624_FED_20170619b_3T2_PL2017,1,37
1,625_FED_20170619a_3T2_PL2017,1,37
1,626_FED_20170619c_3T2_PL2017,1,37
